,gender,age,married,dependents,education,self_employed,business_type,applicant_income,applicant_work_period,coapplicant_income,credit_history,credit_amount,property_area,property_type,credit_rate,loan_amount,loan_term
21,1,61,1,3,1,0,11,3167,35,4000.0,0.0,0,2,2,5,5040,30
105,1,39,1,2,1,0,91,16666,39,0.0,1.0,3571,1,1,4,11550,30
206,1,47,0,1,1,0,79,4384,39,1793.0,1.0,1013,1,1,4,2808,24
182,1,20,1,1,1,-1,73,4166,12,3369.0,,0,1,2,6,6633,40
323,0,25,1,0,0,0,41,4100,44,0.0,,0,3,1,1,3224,40
127,1,33,1,2,1,0,78,3717,45,0.0,1.0,2027,2,3,2,3960,36
93,1,34,1,2,1,0,94,4708,56,1387.0,1.0,3589,2,1,5,6300,30
74,1,37,1,2,0,0,93,3675,61,242.0,1.0,3209,2,1,1,2916,24
33,1,45,1,3,1,0,16,5516,30,11300.0,0.0,0,2,1,4,17820,40
408,1,27,1,0,1,-1,48,63337,40,0.0,1.0,3625,1,3,4,9800,13
191,1,28,1,1,1,0,37,5649,43,0.0,1.0,3065,1,1,5,1716,26
594,0,33,0,0,1,0,74,8333,55,0.0,1.0,3740,2,1,1,7840,36
308,1,41,0,0,0,0,80,3598,34,1287.0,1.0,2740,3,3,2,2700,28
498,1,30,1,0,1,0,74,1809,35,1868.0,1.0,3212,1,1,3,2520,30
222,0,38,0,1,1,1,61,7451,36,0.0,1.0,876,2,1,3,3200,30
181,1,60,1,1,1,0,14,6400,38,7250.0,0.0,0,1,3,7,3240,28
270,1,34,1,0,0,0,48,1863,47,1041.0,1.0,875,2,1,5,2940,28
221,0,58,0,1,1,0,95,4723,61,0.0,1.0,6962,2,2,3,2268,28
496,1,42,1,0,1,0,83,2132,69,1591.0,1.0,981,2,1,3,2592,30
172,1,49,1,1,0,0,79,2492,34,2375.0,1.0,1653,3,1,1,12000,40
450,1,38,1,0,1,0,71,3246,61,1417.0,1.0,1748,2,1,4,3312,26
0,1,55,1,3,0,0,88,4755,51,0.0,0.0,0,2,3,8,2090,0
235,1,32,1,1,1,0,83,3333,31,3250.0,1.0,896,1,2,2,3476,33
166,0,57,0,1,0,1,1,3867,50,0.0,1.0,7405,2,2,2,1116,40
110,1,50,1,2,1,0,81,3200,12,700.0,1.0,624,1,2,3,2100,26
156,1,47,0,1,0,1,92,4053,65,2426.0,0.0,0,1,3,4,2844,24
576,1,41,0,0,1,-1,64,3182,27,2917.0,1.0,2015,1,3,1,3864,24
319,1,26,0,0,0,0,50,3975,64,2531.0,1.0,1895,3,2,1,1540,40
141,1,42,1,2,1,1,1,3316,66,3500.0,1.0,3552,1,3,1,1584,36
388,1,37,1,0,1,0,63,2666,44,4300.0,1.0,935,3,1,5,3630,36
580,1,35,1,0,1,0,40,4583,53,5625.0,1.0,2513,2,2,1,7140,40
348,0,52,0,0,1,1,18,2600,65,1717.0,1.0,4564,2,1,6,2673,23
365,-1,30,1,0,1,1,84,2083,42,4083.0,,0,2,2,5,4160,40
483,1,50,1,0,1,-1,94,3333,44,2500.0,1.0,2591,2,2,3,5376,36
247,0,26,0,1,1,0,57,3812,64,0.0,1.0,652,3,2,1,5040,30
81,1,47,1,2,1,1,43,17500,60,0.0,1.0,1595,3,3,5,9600,26
561,1,30,0,0,1,1,29,10416,24,0.0,0.0,0,1,1,2,4114,30
175,1,29,1,1,1,-1,48,3717,41,2925.0,,0,2,2,8,4228,30
150,1,34,1,2,1,1,83,16525,72,1014.0,1.0,1227,3,1,1,3900,26
128,1,28,1,2,1,1,78,2500,69,4600.0,1.0,1244,3,3,2,3168,40
8,1,31,1,3,0,1,30,7100,31,0.0,1.0,1565,1,3,3,2750,5
436,1,48,1,0,1,0,10,3941,36,2336.0,1.0,3852,2,1,4,4020,30
318,1,50,1,0,0,-1,38,1820,39,1769.0,1.0,1387,3,2,1,1710,36
522,1,30,0,0,1,0,93,6000,57,0.0,1.0,3605,3,3,2,2520,24
607,1,66,1,-1,1,0,74,5116,8,1451.0,0.0,0,1,3,2,6930,40
360,0,36,0,0,1,0,37,10408,32,0.0,1.0,1178,1,2,5,6734,40
211,1,40,1,1,1,-1,61,5250,50,688.0,1.0,3081,3,3,3,2880,36
530,1,21,1,0,1,0,33,2500,40,2118.0,1.0,1246,2,2,2,4680,33
519,1,35,1,0,1,0,62,2499,42,2458.0,1.0,985,2,3,2,6240,24
511,0,32,0,0,1,0,54,2138,9,0.0,0.0,0,2,1,3,1980,36
7,1,52,1,3,0,0,66,3522,70,0.0,1.0,2076,3,1,4,2106,12
324,1,75,1,0,1,0,52,5726,50,4595.0,1.0,5039,2,2,8,6192,30
266,1,73,1,0,0,0,88,1800,56,2934.0,0.0,0,1,2,5,3906,40
84,-1,68,1,2,1,0,10,2873,47,1872.0,0.0,0,2,3,5,3168,28
9,1,38,0,3,0,0,64,4707,45,1993.0,1.0,2817,2,3,3,4144,26
267,0,27,1,0,0,0,93,1928,61,1644.0,1.0,1142,2,1,5,4500,40
114,1,40,1,2,1,1,85,6250,39,1300.0,1.0,3749,3,2,3,4212,33
2,1,43,1,3,0,0,56,3095,33,0.0,1.0,1382,3,3,5,3390,33
334,0,51,1,0,1,0,53,4583,66,0.0,1.0,7635,3,2,7,3024,26
146,1,22,1,2,1,0,86,3153,52,1560.0,1.0,3886,1,2,1,5628,40
531,1,30,0,0,1,0,23,4133,71,0.0,1.0,3673,2,2,2,2684,24
307,0,38,1,0,0,0,31,2149,14,3237.0,0.0,0,2,3,2,4628,30
217,1,75,1,1,1,1,9,10513,2,3850.0,0.0,0,1,2,3,3840,14
89,1,41,1,2,1,0,78,3100,45,1400.0,1.0,2608,1,2,5,3051,40
379,1,46,0,0,1,0,20,4843,59,3806.0,1.0,2731,2,1,5,3020,40
354,1,17,1,0,1,0,75,6000,60,2250.0,,0,2,3,5,6360,26
596,1,42,1,0,1,0,91,4310,31,0.0,,0,2,1,1,3510,36
506,1,32,1,0,1,0,81,3775,52,0.0,1.0,1666,2,1,3,3630,24
514,1,50,0,0,1,0,48,8333,42,3750.0,1.0,957,3,3,2,5610,24
76,0,46,1,2,1,0,15,1378,2,1881.0,1.0,2063,1,2,7,4676,40
347,1,34,0,0,1,1,82,11000,54,0.0,1.0,4136,1,1,6,1660,40
432,1,56,0,0,1,0,85,3750,29,4750.0,1.0,6506,1,2,4,4224,40
285,1,29,0,0,0,0,64,3833,62,0.0,1.0,564,3,2,4,3300,30
253,0,31,1,1,1,1,83,19484,57,0.0,1.0,2263,2,1,1,14350,30
542,1,69,1,0,1,0,5,3597,40,2157.0,0.0,0,3,2,2,3570,40
284,1,36,0,0,0,0,60,3691,60,0.0,1.0,2944,3,2,4,4950,33
527,0,52,0,0,1,0,33,2378,4,0.0,1.0,4765,1,3,2,198,28
216,0,44,0,1,1,0,65,13262,47,0.0,1.0,3454,1,2,3,1440,26
49,1,29,1,3,1,0,63,39999,50,0.0,0.0,0,2,1,1,9000,13
47,1,48,1,3,1,0,68,3029,29,0.0,1.0,1694,1,2,1,1980,24
303,1,50,1,0,0,0,6,4887,7,0.0,1.0,7217,3,1,3,2394,24
26,1,44,1,3,1,0,74,4281,28,0.0,1.0,1742,1,1,5,3300,36
169,1,25,1,1,0,0,68,5333,37,1131.0,,0,1,2,1,4836,26
